facet,metric,condition,n,mean,sd,se
Find × Text,Scroll count,Non-grounded,22,8.0909,7.9875,1.7030
Find × Text,Scroll count,Grounded,21,10.4762,6.6454,1.4502
Find × Visual,Scroll count,Non-grounded,21,19.3333,13.8756,3.0279
Find × Visual,Scroll count,Grounded,18,21.8889,14.3235,3.3761
Guide × Text,Scroll count,Non-grounded,17,10.4706,7.0898,1.7195
Guide × Text,Scroll count,Grounded,26,13.6923,9.4266,1.8487
Guide × Visual,Scroll count,Non-grounded,24,9.4583,7.6214,1.5557
Guide × Visual,Scroll count,Grounded,28,12.0714,8.2728,1.5634
Find × Text,Ctrl+F,Non-grounded,22,1.1364,1.1668,0.2488
Find × Text,Ctrl+F,Grounded,21,1.3810,1.2836,0.2801
Find × Visual,Ctrl+F,Non-grounded,21,0.4286,0.5071,0.1107
Find × Visual,Ctrl+F,Grounded,18,0.2778,0.4609,0.1086
Guide × Text,Ctrl+F,Non-grounded,17,0.0000,0.0000,0.0000
Guide × Text,Ctrl+F,Grounded,26,0.0385,0.1961,0.0385
Guide × Visual,Ctrl+F,Non-grounded,24,0.0000,0.0000,0.0000
Guide × Visual,Ctrl+F,Grounded,28,0.0000,0.0000,0.0000
Find × Text,Text selections,Non-grounded,22,1.8636,2.5690,0.5477
Find × Text,Text selections,Grounded,21,1.2381,1.3749,0.3000
Find × Visual,Text selections,Non-grounded,21,1.5714,2.3785,0.5190
Find × Visual,Text selections,Grounded,18,0.8333,1.9174,0.4519
Guide × Text,Text selections,Non-grounded,17,2.5294,6.7279,1.6318
Guide × Text,Text selections,Grounded,26,1.0769,1.8314,0.3592
Guide × Visual,Text selections,Non-grounded,24,1.1250,2.4373,0.4975
Guide × Visual,Text selections,Grounded,28,0.8929,1.8527,0.3501
Find × Text,Mouse clicks,Non-grounded,22,16.0909,9.6900,2.0659
Find × Text,Mouse clicks,Grounded,21,13.1905,4.2617,0.9300
Find × Visual,Mouse clicks,Non-grounded,21,14.6667,5.5347,1.2078
Find × Visual,Mouse clicks,Grounded,18,13.5556,9.1537,2.1576
Guide × Text,Mouse clicks,Non-grounded,17,26.0588,15.0020,3.6385
Guide × Text,Mouse clicks,Grounded,26,24.3462,15.2655,2.9938
Guide × Visual,Mouse clicks,Non-grounded,24,23.0833,13.8906,2.8354
Guide × Visual,Mouse clicks,Grounded,28,25.4286,14.8435,2.8051
Find × Text,Mouse distance (px),Non-grounded,22,29983.4091,26879.6781,5730.7666
Find × Text,Mouse distance (px),Grounded,21,21675.4762,15955.0455,3481.6764
Find × Visual,Mouse distance (px),Non-grounded,21,21620.0952,17974.9125,3922.4475
Find × Visual,Mouse distance (px),Grounded,18,16819.7778,9976.3175,2351.4406
Guide × Text,Mouse distance (px),Non-grounded,17,12948.8235,10083.4638,2445.5992
Guide × Text,Mouse distance (px),Grounded,26,24078.8462,17498.2598,3431.6911
Guide × Visual,Mouse distance (px),Non-grounded,24,11814.7083,8422.6436,1719.2649
Guide × Visual,Mouse distance (px),Grounded,28,18602.8214,12791.7139,2417.4067
Find × Text,Page clicks,Non-grounded,22,5.7273,4.9587,1.0572
Find × Text,Page clicks,Grounded,21,4.9524,3.4565,0.7543
Find × Visual,Page clicks,Non-grounded,21,4.7143,3.9641,0.8650
Find × Visual,Page clicks,Grounded,18,5.0556,8.3840,1.9761
Guide × Text,Page clicks,Non-grounded,17,9.7059,15.9795,3.8756
Guide × Text,Page clicks,Grounded,26,9.0385,12.6348,2.4779
Guide × Visual,Page clicks,Non-grounded,24,6.0417,8.0351,1.6402
Guide × Visual,Page clicks,Grounded,28,6.6786,9.6343,1.8207
