facet,measure,condition,n,mean,sd,se,median,q1,q3
Find × Text,accuracy,Non-grounded,22,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
Find × Text,localization F1,Non-grounded,22,0.5909,0.3663,0.0781,0.5000,0.5000,1.0000
Find × Text,F1 · Part 1 · passage,Non-grounded,22,0.3636,0.4924,0.1050,0.0000,0.0000,1.0000
Find × Text,F1 · Part 2 · passage,Non-grounded,22,0.8182,0.3948,0.0842,1.0000,1.0000,1.0000
Find × Text,judge time (s),Non-grounded,22,197.1752,157.7316,33.6285,184.6595,99.7562,270.6053
Find × Text,locate time (s),Non-grounded,22,91.9275,172.0496,36.6811,35.8815,27.8570,67.1580
Find × Text,"total time (s), all rows",Non-grounded,22,289.1026,248.5550,52.9921,213.2705,142.6968,339.9545
Find × Text,"total time (s), correct only",Non-grounded,22,289.1026,248.5550,52.9921,213.2705,142.6968,339.9545
Find × Text,accuracy,Grounded,21,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
Find × Text,localization F1,Grounded,21,0.8571,0.2315,0.0505,1.0000,0.5000,1.0000
Find × Text,F1 · Part 1 · passage,Grounded,21,0.7143,0.4629,0.1010,1.0000,0.0000,1.0000
Find × Text,F1 · Part 2 · passage,Grounded,21,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
Find × Text,judge time (s),Grounded,21,114.4819,89.3834,19.5050,114.4540,28.3280,175.7840
Find × Text,locate time (s),Grounded,21,51.8600,31.4878,6.8712,42.3670,27.3820,67.6060
Find × Text,"total time (s), all rows",Grounded,21,166.3419,107.7933,23.5224,168.0640,91.1180,208.4880
Find × Text,"total time (s), correct only",Grounded,21,166.3419,107.7933,23.5224,168.0640,91.1180,208.4880
Find × Visual,accuracy,Non-grounded,21,0.7619,0.4364,0.0952,1.0000,1.0000,1.0000
Find × Visual,localization F1,Non-grounded,21,0.2381,0.3748,0.0818,0.0000,0.0000,0.5000
Find × Visual,F1 · Part 1 · passage,Non-grounded,21,0.2857,0.4629,0.1010,0.0000,0.0000,1.0000
Find × Visual,F1 · Part 2 · image,Non-grounded,21,0.1905,0.4024,0.0878,0.0000,0.0000,0.0000
Find × Visual,judge time (s),Non-grounded,21,167.8519,224.0085,48.8827,83.0960,53.8150,131.8790
Find × Visual,locate time (s),Non-grounded,21,126.1532,161.9289,35.3358,51.0070,29.2250,112.2280
Find × Visual,"total time (s), all rows",Non-grounded,21,294.0051,332.1782,72.4872,154.0040,129.7600,268.0490
Find × Visual,"total time (s), correct only",Non-grounded,16,278.4913,320.2081,80.0520,160.9040,127.5417,214.9610
Find × Visual,accuracy,Grounded,18,0.8889,0.3234,0.0762,1.0000,1.0000,1.0000
Find × Visual,localization F1,Grounded,18,0.2778,0.3078,0.0726,0.2500,0.0000,0.5000
Find × Visual,F1 · Part 1 · passage,Grounded,18,0.3333,0.4851,0.1143,0.0000,0.0000,1.0000
Find × Visual,F1 · Part 2 · image,Grounded,18,0.2222,0.4278,0.1008,0.0000,0.0000,0.0000
