participant,rows_total,tasks_total,complete,rows_counted,tasks_counted,facets_counted,nongrounded_rows,grounded_rows,both_arms,find_text_ng,find_text_g,find_text_both_arms,find_visual_ng,find_visual_g,find_visual_both_arms,guide_text_ng,guide_text_g,guide_text_both_arms,guide_visual_ng,guide_visual_g,guide_visual_both_arms
1,8,8,true,5,5,4,1,4,true,0,1,false,1,1,true,0,1,false,0,1,false
2,8,8,true,5,5,4,1,4,true,0,1,false,1,1,true,0,1,false,0,1,false
3,8,8,true,6,6,4,3,3,true,1,1,true,1,0,false,0,1,false,1,1,true
4,8,8,true,7,7,4,4,3,true,1,1,true,1,0,false,1,1,true,1,1,true
5,8,8,true,5,5,4,1,4,true,0,1,false,1,1,true,0,1,false,0,1,false
6,8,8,true,7,7,4,4,3,true,1,1,true,1,0,false,1,1,true,1,1,true
7,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
8,8,8,true,7,7,4,3,4,true,1,1,true,0,1,false,1,1,true,1,1,true
9,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
10,8,8,true,6,6,4,3,3,true,1,1,true,1,0,false,0,1,false,1,1,true
11,8,8,true,4,4,3,3,1,true,1,0,false,1,1,true,0,0,false,1,0,false
12,8,8,true,4,4,3,3,1,true,1,0,false,1,1,true,0,0,false,1,0,false
13,8,8,true,7,7,4,4,3,true,1,1,true,1,0,false,1,1,true,1,1,true
14,8,8,true,7,7,4,3,4,true,1,1,true,0,1,false,1,1,true,1,1,true
15,8,8,true,7,7,4,4,3,true,1,1,true,1,0,false,1,1,true,1,1,true
16,8,8,true,7,7,4,3,4,true,1,1,true,0,1,false,1,1,true,1,1,true
17,4,4,false,3,3,3,0,3,false,0,1,false,0,1,false,0,0,false,0,1,false
18,8,8,true,5,5,4,1,4,true,0,1,false,1,1,true,0,1,false,0,1,false
19,3,3,false,3,3,2,2,1,true,1,1,true,0,0,false,0,0,false,1,0,false
20,1,1,false,1,1,1,0,1,false,0,1,false,0,0,false,0,0,false,0,0,false
21,8,8,true,7,7,4,4,3,true,1,1,true,1,1,true,1,0,false,1,1,true
22,8,8,true,6,6,4,3,3,true,1,1,true,1,0,false,0,1,false,1,1,true
23,7,7,false,5,5,4,3,2,true,1,0,false,1,0,false,0,1,false,1,1,true
24,8,8,true,7,7,4,4,3,true,1,1,true,1,1,true,1,0,false,1,1,true
25,1,1,false,1,1,1,1,0,false,1,0,false,0,0,false,0,0,false,0,0,false
26,7,7,false,4,4,3,1,3,true,0,0,false,1,1,true,0,1,false,0,1,false
27,8,8,true,6,6,4,3,3,true,1,1,true,1,0,false,0,1,false,1,1,true
28,8,8,true,4,4,3,3,1,true,1,0,false,1,1,true,0,0,false,1,0,false
29,8,8,true,5,5,4,4,1,true,1,0,false,1,1,true,1,0,false,1,0,false
30,8,8,true,5,5,4,1,4,true,0,1,false,1,1,true,0,1,false,0,1,false
31,8,8,true,5,5,4,4,1,true,1,0,false,1,1,true,1,0,false,1,0,false
32,8,8,true,5,5,4,1,4,true,0,1,false,1,1,true,0,1,false,0,1,false
33,6,6,false,4,4,3,3,1,true,1,0,false,1,1,true,1,0,false,0,0,false
34,8,8,true,7,7,4,4,3,true,1,1,true,1,0,false,1,1,true,1,1,true
35,1,1,false,1,1,1,0,1,false,0,1,false,0,0,false,0,0,false,0,0,false
36,3,3,false,3,3,2,1,2,true,1,1,true,0,0,false,0,1,false,0,0,false
37,8,8,true,7,7,4,3,4,true,1,1,true,0,1,false,1,1,true,1,1,true
38,8,8,true,5,5,4,1,4,true,0,1,false,1,1,true,0,1,false,0,1,false
39,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
40,1,1,false,0,0,0,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
41,2,2,false,2,2,1,1,1,true,1,1,true,0,0,false,0,0,false,0,0,false
42,1,1,false,0,0,0,0,0,false,0,0,false,0,0,false,0,0,false,0,0,false
43,8,8,true,6,6,4,2,4,true,0,1,false,1,1,true,1,1,true,0,1,false
44,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
45,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
46,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
47,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
48,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
49,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
50,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
51,1,1,false,1,1,1,0,1,false,0,1,false,0,0,false,0,0,false,0,0,false
52,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
53,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
54,8,8,true,8,8,4,4,4,true,1,1,true,1,1,true,1,1,true,1,1,true
55,5,5,false,5,5,3,3,2,true,1,1,true,1,1,true,1,0,false,0,0,false
