facet,measure,condition,n,mean,sd,se,median,q1,q3
Find × Text,accuracy,Non-grounded,40,0.9500,0.2207,0.0349,1.0000,1.0000,1.0000
Find × Text,localization F1,Non-grounded,40,0.8375,0.3078,0.0487,1.0000,0.8750,1.0000
Find × Text,F1 · Part 1 · passage,Non-grounded,40,0.7750,0.4229,0.0669,1.0000,1.0000,1.0000
Find × Text,F1 · Part 2 · passage,Non-grounded,40,0.9000,0.3038,0.0480,1.0000,1.0000,1.0000
Find × Text,judge time (s),Non-grounded,40,182.5320,152.6340,24.1335,168.1885,66.6560,239.3843
Find × Text,locate time (s),Non-grounded,40,144.4831,431.4257,68.2144,43.2095,29.3130,73.5920
Find × Text,"total time (s), all rows",Non-grounded,40,327.0151,462.5147,73.1300,213.2250,134.9155,319.2475
Find × Text,"total time (s), correct only",Non-grounded,38,262.1473,212.5478,34.4798,207.5510,134.2005,305.5808
Find × Text,accuracy,Grounded,44,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
Find × Text,localization F1,Grounded,44,0.9432,0.1934,0.0292,1.0000,1.0000,1.0000
Find × Text,F1 · Part 1 · passage,Grounded,44,0.9318,0.2550,0.0384,1.0000,1.0000,1.0000
Find × Text,F1 · Part 2 · passage,Grounded,44,0.9545,0.2107,0.0318,1.0000,1.0000,1.0000
Find × Text,judge time (s),Grounded,44,170.2262,155.0893,23.3806,135.3445,62.9220,212.1665
Find × Text,locate time (s),Grounded,44,55.1924,38.7428,5.8407,49.1320,27.3293,65.3372
Find × Text,"total time (s), all rows",Grounded,44,225.4186,163.9081,24.7101,195.9265,109.0110,300.1945
Find × Text,"total time (s), correct only",Grounded,44,225.4186,163.9081,24.7101,195.9265,109.0110,300.1945
Find × Visual,accuracy,Non-grounded,41,0.8537,0.3578,0.0559,1.0000,1.0000,1.0000
Find × Visual,localization F1,Non-grounded,41,0.5976,0.2788,0.0435,0.5000,0.5000,1.0000
Find × Visual,F1 · Part 1 · passage,Non-grounded,41,0.2927,0.4606,0.0719,0.0000,0.0000,1.0000
Find × Visual,F1 · Part 2 · image,Non-grounded,41,0.9024,0.3004,0.0469,1.0000,1.0000,1.0000
Find × Visual,judge time (s),Non-grounded,41,129.3892,167.9131,26.2236,79.1370,52.7860,126.1030
Find × Visual,locate time (s),Non-grounded,41,85.8995,124.1344,19.3865,45.5950,22.5800,72.2870
Find × Visual,"total time (s), all rows",Non-grounded,41,215.2887,251.5429,39.2844,146.3290,106.5150,193.4600
Find × Visual,"total time (s), correct only",Non-grounded,35,199.5233,228.7495,38.6657,150.9050,105.9340,191.6445
Find × Visual,accuracy,Grounded,36,0.9167,0.2803,0.0467,1.0000,1.0000,1.0000
Find × Visual,localization F1,Grounded,36,0.6667,0.2673,0.0445,0.5000,0.5000,1.0000
Find × Visual,F1 · Part 1 · passage,Grounded,36,0.3611,0.4871,0.0812,0.0000,0.0000,1.0000
Find × Visual,F1 · Part 2 · image,Grounded,36,0.9722,0.1667,0.0278,1.0000,1.0000,1.0000
Find × Visual,judge time (s),Grounded,36,87.4306,62.3172,10.3862,81.6900,41.4357,112.5545
Find × Visual,locate time (s),Grounded,36,77.2605,237.9736,39.6623,33.1585,19.3863,50.8965
Find × Visual,"total time (s), all rows",Grounded,36,164.6911,235.7353,39.2892,114.5070,93.5095,160.7655
Find × Visual,"total time (s), correct only",Grounded,33,171.8122,244.8268,42.6189,115.3080,95.8360,166.7580
Guide × Text,accuracy,Non-grounded,33,0.5455,0.5056,0.0880,1.0000,0.0000,1.0000
Guide × Text,localization F1,Non-grounded,33,0.1399,0.2891,0.0503,0.0000,0.0000,0.0000
Guide × Text,F1 · Error type F1,Non-grounded,33,0.1717,0.3448,0.0600,0.0000,0.0000,0.0000
Guide × Text,F1 · Step F1,Non-grounded,33,0.1081,0.2513,0.0437,0.0000,0.0000,0.0000
Guide × Text,judge time (s),Non-grounded,33,77.7633,78.1330,13.6012,67.0370,28.0030,87.9740
Guide × Text,locate time (s),Non-grounded,33,27.2872,34.0966,5.9355,11.1090,4.9050,34.6160
Guide × Text,"total time (s), all rows",Non-grounded,33,105.0506,86.9836,15.1419,84.3470,59.7530,123.8370
Guide × Text,"total time (s), correct only",Non-grounded,18,118.2643,99.5181,23.4566,82.7580,69.5940,117.0553
Guide × Text,accuracy,Grounded,40,0.6750,0.4743,0.0750,1.0000,0.0000,1.0000
Guide × Text,localization F1,Grounded,40,0.1767,0.3477,0.0550,0.0000,0.0000,0.0000
Guide × Text,F1 · Error type F1,Grounded,40,0.1958,0.3791,0.0599,0.0000,0.0000,0.0000
Guide × Text,F1 · Step F1,Grounded,40,0.1575,0.3379,0.0534,0.0000,0.0000,0.0000
Guide × Text,judge time (s),Grounded,40,114.9889,106.4239,16.8271,89.6050,48.0538,142.0953
Guide × Text,locate time (s),Grounded,40,42.6091,55.5801,8.7880,22.8845,8.1267,51.3375
Guide × Text,"total time (s), all rows",Grounded,40,157.5981,114.2258,18.0607,138.1305,73.3820,205.4952
Guide × Text,"total time (s), correct only",Grounded,27,165.1765,125.8400,24.2179,129.8910,71.7810,223.9495
Guide × Visual,accuracy,Non-grounded,44,0.8409,0.3700,0.0558,1.0000,1.0000,1.0000
Guide × Visual,localization F1,Non-grounded,44,0.3160,0.3212,0.0484,0.3333,0.0000,0.6417
Guide × Visual,F1 · Error type F1,Non-grounded,44,0.4242,0.4090,0.0617,0.6667,0.0000,0.6667
Guide × Visual,F1 · Step F1,Non-grounded,44,0.2077,0.3131,0.0472,0.0000,0.0000,0.4893
Guide × Visual,judge time (s),Non-grounded,44,64.7954,79.8698,12.0408,37.5620,23.9920,73.9315
Guide × Visual,locate time (s),Non-grounded,44,29.8965,44.4793,6.7055,17.4615,3.5343,33.8555
Guide × Visual,"total time (s), all rows",Non-grounded,44,94.6919,108.8830,16.4147,66.9555,39.0003,92.7668
